what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1558581696573
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1558581696575
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1558581696576
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1558581696577
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1558581696578
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1558581696579
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1558581696580
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1558581696581
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1558581696582
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1558581696582
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1558581696582
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1558581696584
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1558581696584
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1558581696585
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1558581696586
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1558581696587
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1558581696588
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1558581696589
os,sysinfo,,,"win32",1558581696603
arch,sysinfo,,,"x86",1558581696603
ws,sysinfo,,,"win32",1558581696603
locale,sysinfo,,,"en_IN",1558581696603
processors,sysinfo,,,"4",1558581696603
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1558581696603
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1558581696603
java.specification.name,sysinfo,,,"Java Platform API Specification",1558581696603
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1558581696603
java.specification.version,sysinfo,,,"1.6",1558581696603
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1558581696603
java.version,sysinfo,,,"1.6.0_22",1558581696603
java.vm.info,sysinfo,,,"mixed mode",1558581696603
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1558581696603
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1558581696603
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1558581696603
java.vm.specification.version,sysinfo,,,"1.0",1558581696603
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1558581696603
java.vm.version,sysinfo,,,"17.1-b03",1558581696603
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1558581696683
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1558581696933
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1558581697323
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1558581697629
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1558581697868
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1558581697900
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1558581698023
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1558581698335
