what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1559711356701
java.specification.name,sysinfo,,,"Java Platform API Specification",1559711356701
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1559711356701
java.specification.version,sysinfo,,,"1.6",1559711356701
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1559711356701
java.version,sysinfo,,,"1.6.0_22",1559711356701
java.vm.info,sysinfo,,,"mixed mode",1559711356701
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1559711356701
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1559711356701
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1559711356701
java.vm.specification.version,sysinfo,,,"1.0",1559711356701
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1559711356701
java.vm.version,sysinfo,,,"17.1-b03",1559711356701
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1559711356937
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1559711357081
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1559711357346
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1559711357475
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1559711357692
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1559711358017
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1559711358566
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1559711358735
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1559711359144
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1559711359147
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1559711359343
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1559711359664
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1559711359685
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1559711359886
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1559711360314
