what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1558065309857
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1558065309935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.showIn",1558065310010
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1558065333897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065346171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065364706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1558065364714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1558065364714
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1558065370416
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1558065370437
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1558065379688
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1558065379756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065387097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065391255
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1558065395822
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1558065396112
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1558065398938
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1558065399107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065426551
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065426693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065426782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065433225
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1558065433364
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1558065433463
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1558065434123
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1558065434124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065434347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065485307
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1558065485825
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1558065486008
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1558065512763
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1558065512779
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1558065512788
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1558065512863
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1558065512864
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1558065531422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065536673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065624061
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1558065628633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1558065629640
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1558065631917
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1558065653833
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1558065670157
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1558065686255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065698203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065698347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065726788
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065726941
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1558065740389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065746648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065749615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065784994
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1558065785005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065788288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065788393
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065791489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1558065823895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065834766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558065875957
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558066371349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558066376591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558066378120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558066380585
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558066382706
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1558066385265
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1558293832510
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1558293832511
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1558293832511
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1558293832512
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1558293832513
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1558293832513
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1558293832514
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1558293832514
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1558293832515
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1558293832516
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1558293832516
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1558293832517
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1558293832518
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1558293832518
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1558293832519
